"node","total_degree"
"R-CFA-418555","3"
"R-GGA-450385","3"
"R-DME-9759476","3"
"R-SSC-9026286","3"
"R-CEL-392154","3"
"R-DME-9634815","3"
"C536884","3"
"R-DME-2172127","3"
"R-SSC-5693579","3"
"R-SSC-68884","3"
"R-DME-9020956","3"
"R-DRE-164378","3"
"R-DME-9764260","3"
"R-DRE-6787639","3"
"R-GGA-1670466","3"
"R-RNO-8963678","3"
"R-SPO-109606","3"
"R-DRE-8964208","3"
"R-BTA-5626978","3"
"R-SSC-8865999","3"
"R-SSC-977347","3"
"R-GGA-5576886","3"
"R-SPO-193704","3"
"R-DRE-1236974","3"
"R-BTA-1566977","3"
"R-CEL-5658623","3"
"R-SSC-6814848","3"
"R-SSC-3371378","3"
"R-CFA-69473","3"
"R-SSC-72086","3"
"R-BTA-111957","3"
"R-BTA-6807047","3"
"R-DME-186712","3"
"R-SPO-381771","3"
"R-SSC-8849932","3"
"R-DRE-448424","3"
"R-SCE-2514856","3"
"R-XTR-9709957","3"
"R-SCE-1369007","3"
"R-SSC-392023","3"
"R-CFA-1566948","3"
"R-HSA-5579021","3"
"C540770","3"
"R-DDI-111471","3"
"R-SPO-176408","3"
"R-XTR-69541","3"
"R-DME-74158","3"
"R-CFA-75105","3"
"R-SSC-74217","3"
"R-SSC-168179","3"
"R-DME-2473224","3"
"R-DDI-196108","3"
"R-CEL-2162123","3"
"R-DME-168176","3"
"R-GGA-9008059","3"
"R-DDI-194138","3"
"R-SSC-9711097","3"
"R-CFA-5357801","3"
"R-DDI-1650814","3"
"R-SSC-428930","3"
"R-DME-1566948","3"
